Latitude,Longitude,Depth,Magnitude,Quality,Location
63.999,-20.585,7.9 km,0.8,99,4.8 km ESE of Hestfjall
66.238,-16.561,2.1 km,1,61.97,8.6 km SW of Kópasker
66.277,-16.541,0.8 km,1,32.08,4.8 km SW of Kópasker
66.266,-16.534,2.0 km,1.2,53.81,5.4 km SW of Kópasker
66.263,-16.55,0.9 km,1.1,40.48,6.1 km SW of Kópasker
64.015,-16.605,5.3 km,0.1,46.04,3.7 km E of Hvannadalshnjúkur
66.271,-16.57,0.6 km,1.2,31.48,6.3 km WSW of Kópasker
66.241,-16.545,1.5 km,1.8,99,7.9 km SSW of Kópasker
66.231,-16.569,3.1 km,1.1,38.4,9.4 km SW of Kópasker
66.256,-16.56,0.1 km,1,38.81,7.0 km SW of Kópasker
66.269,-16.54,3.3 km,1,30.44,5.4 km SW of Kópasker
66.237,-16.568,2.0 km,1.2,31.34,8.9 km SW of Kópasker
66.276,-16.535,1.0 km,1.1,31.39,4.7 km SW of Kópasker
66.253,-16.538,3.1 km,1,37.9,6.6 km SW of Kópasker
66.272,-16.522,5.1 km,1.9,99,4.5 km SW of Kópasker
66.256,-16.543,1.5 km,1.6,99,6.5 km SW of Kópasker
66.245,-16.548,5.3 km,1,31.24,7.6 km SW of Kópasker
66.246,-16.609,1.1 km,1.3,35.34,9.4 km SW of Kópasker
66.253,-16.541,4.4 km,1.3,78.39,6.7 km SW of Kópasker
66.256,-16.532,4.3 km,1.6,81.21,6.2 km SW of Kópasker
66.237,-16.563,4.3 km,2,99,8.7 km SW of Kópasker
66.234,-16.55,5.3 km,1.4,53.92,8.7 km SSW of Kópasker
66.243,-16.546,2.7 km,1.4,80.14,7.8 km SSW of Kópasker
66.255,-16.53,4.3 km,1.2,65.66,6.3 km SW of Kópasker
66.264,-16.54,1.9 km,1,49.36,5.7 km SW of Kópasker
66.236,-16.553,5.2 km,1.3,54.11,8.6 km SSW of Kópasker
66.249,-16.557,5.0 km,1,38.5,7.5 km SW of Kópasker
66.234,-16.571,1.9 km,1,42.05,9.2 km SW of Kópasker
66.232,-16.561,3.3 km,1.3,64.03,9.2 km SSW of Kópasker
66.236,-16.557,3.4 km,1.4,73.89,8.7 km SSW of Kópasker
66.237,-16.556,2.8 km,1.7,90.01,8.6 km SSW of Kópasker
66.236,-16.563,3.0 km,1.3,30.7,8.8 km SW of Kópasker
66.247,-16.563,4.1 km,1.8,90.02,7.8 km SW of Kópasker
66.235,-16.559,2.8 km,1.2,40.47,8.8 km SSW of Kópasker
66.235,-16.544,8.4 km,1.6,90.01,8.5 km SSW of Kópasker
66.239,-16.548,3.5 km,1.2,51.46,8.2 km SSW of Kópasker
66.233,-16.56,2.7 km,1,37.04,9.0 km SSW of Kópasker
66.24,-16.605,3.3 km,1.6,90.01,9.7 km SW of Kópasker
66.234,-16.565,3.4 km,1.6,90.02,9.1 km SW of Kópasker
66.253,-16.539,3.1 km,1.4,78.49,6.7 km SW of Kópasker
66.252,-16.542,3.5 km,1.6,90.01,6.8 km SW of Kópasker
66.25,-16.543,3.6 km,1.1,52.19,7.0 km SW of Kópasker
66.244,-16.544,4.0 km,1.3,73.78,7.6 km SSW of Kópasker
66.248,-16.567,2.5 km,2,90.02,7.9 km SW of Kópasker
66.242,-16.538,1.0 km,1.5,37.59,7.7 km SSW of Kópasker
66.236,-16.573,2.7 km,1.7,75.32,9.1 km SW of Kópasker
66.26,-16.542,1.9 km,2.2,99,6.1 km SW of Kópasker
66.251,-16.527,4.2 km,1.4,68.64,6.6 km SSW of Kópasker
66.257,-16.539,3.6 km,1.4,54,6.3 km SW of Kópasker
66.288,-16.478,5.2 km,1.2,39.85,1.9 km SW of Kópasker
66.243,-16.549,3.5 km,1.6,99,7.8 km SW of Kópasker
66.24,-16.557,5.4 km,2.4,99,8.3 km SW of Kópasker
66.271,-16.534,3.6 km,1.4,68.26,5.0 km SW of Kópasker
66.267,-16.556,1.4 km,1.6,99,6.0 km SW of Kópasker
66.232,-16.558,3.3 km,1.4,57.36,9.1 km SSW of Kópasker
66.265,-16.541,1.0 km,1.6,99,5.7 km SW of Kópasker
66.271,-16.534,2.3 km,1.1,39.63,5.0 km SW of Kópasker
66.197,-16.577,4.4 km,1.2,30.76,12.9 km SSW of Kópasker
66.278,-16.51,3.1 km,1.3,51.08,3.7 km SW of Kópasker
66.245,-16.571,2.0 km,2,90.03,8.2 km SW of Kópasker
66.232,-16.56,3.3 km,1.3,53.81,9.1 km SSW of Kópasker
66.231,-16.566,2.4 km,1.6,99,9.3 km SSW of Kópasker
66.241,-16.547,4.9 km,1.5,42.56,8.0 km SSW of Kópasker
66.241,-16.556,4.2 km,2.1,99,8.2 km SW of Kópasker
66.242,-16.552,2.6 km,1.1,38.93,8.0 km SW of Kópasker
66.23,-16.544,5.2 km,1.2,42.69,9.0 km SSW of Kópasker
66.243,-16.539,4.2 km,1.5,71.34,7.6 km SSW of Kópasker
66.245,-16.54,5.9 km,1.3,38.73,7.4 km SSW of Kópasker
66.239,-16.553,5.1 km,1.2,53.19,8.3 km SSW of Kópasker
66.24,-16.5,11.8 km,1.5,31.72,7.2 km SSW of Kópasker
66.201,-16.595,2.2 km,1,30.59,12.9 km SSW of Kópasker
66.241,-16.556,2.2 km,1.1,40.73,8.2 km SW of Kópasker
66.237,-16.555,3.4 km,1.3,53.05,8.5 km SSW of Kópasker
66.235,-16.561,3.1 km,1.9,99,8.9 km SSW of Kópasker
66.231,-16.567,3.5 km,1.1,31.11,9.4 km SSW of Kópasker
66.239,-16.557,5.2 km,1.2,54.78,8.4 km SW of Kópasker
66.237,-16.561,3.2 km,2.2,99,8.7 km SW of Kópasker
66.237,-16.563,3.3 km,2.1,99,8.7 km SW of Kópasker
66.24,-16.56,3.8 km,2.4,99,8.4 km SW of Kópasker
66.239,-16.558,4.3 km,2,99,8.4 km SW of Kópasker
66.26,-16.522,2.2 km,2.1,99,5.6 km SW of Kópasker
66.237,-16.556,3.2 km,1.6,99,8.5 km SSW of Kópasker
66.237,-16.56,2.9 km,2,99,8.6 km SW of Kópasker
66.231,-16.567,2.6 km,1.4,38.48,9.4 km SSW of Kópasker
66.234,-16.569,3.7 km,1.3,30.61,9.2 km SW of Kópasker
66.236,-16.564,4.3 km,2.2,99,8.9 km SW of Kópasker
66.24,-16.547,8.1 km,1.5,71.04,8.1 km SSW of Kópasker
66.236,-16.625,1.1 km,1.8,90.01,10.6 km SW of Kópasker
66.233,-16.571,2.6 km,1.9,90.01,9.3 km SW of Kópasker
66.239,-16.544,6.8 km,1.7,99,8.0 km SSW of Kópasker
66.23,-16.566,1.7 km,1.2,54.41,9.5 km SSW of Kópasker
66.235,-16.563,3.5 km,1.8,99,8.9 km SW of Kópasker
66.255,-16.544,2.2 km,1.2,40.92,6.6 km SW of Kópasker
66.234,-16.518,1.1 km,1.1,37.39,8.1 km SSW of Kópasker
66.233,-16.541,5.3 km,1.4,40.46,8.6 km SSW of Kópasker
66.235,-16.568,2.6 km,2.7,99,9.0 km SW of Kópasker
66.237,-16.564,2.4 km,1.6,99,8.8 km SW of Kópasker
66.239,-16.562,2.2 km,1.2,40.77,8.5 km SW of Kópasker
66.243,-16.542,3.9 km,1.2,31.03,7.7 km SSW of Kópasker
66.239,-16.552,3.5 km,2.1,99,8.3 km SSW of Kópasker
66.239,-16.562,3.0 km,2.2,99,8.5 km SW of Kópasker
66.247,-16.549,3.7 km,2.1,99,7.5 km SW of Kópasker
66.189,-16.636,0.5 km,1.3,60.18,15.0 km SSW of Kópasker
